LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,LGA_CODE,LGA_NAME
NSW2562,MCDOUGALLS HILL,GAZETTED LOCALITY,2330,NSW,LGA17000,Singleton (A)
NSW2563,MCGRATHS HILL,GAZETTED LOCALITY,2756,NSW,LGA13800,Hawkesbury (C)
NSW2564,MCKEES HILL,GAZETTED LOCALITY,2480,NSW,LGA14850,Lismore (C)
NSW2565,MCKELLARS PARK,GAZETTED LOCALITY,2790,NSW,LGA14870,Lithgow (C)
NSW2566,MCLEANS RIDGES,GAZETTED LOCALITY,2480,NSW,LGA14850,Lismore (C)
NSW2567,MCLEODS SHOOT,GAZETTED LOCALITY,2479,NSW,LGA11350,Byron (A)
NSW2568,MCMAHONS POINT,GAZETTED LOCALITY,2060,NSW,LGA15950,North Sydney (A)
NSW2569,MCMAHONS REEF,GAZETTED LOCALITY,2587,NSW,LGA13910,Hilltops (A)
NSW2570,MEADOW FLAT,GAZETTED LOCALITY,2795,NSW,LGA14870,Lithgow (C)
NSW2571,MEADOWBANK,GAZETTED LOCALITY,2114,NSW,LGA16700,Ryde (C)
NSW2572,MEBBIN,GAZETTED LOCALITY,2484,NSW,LGA17550,Tweed (A)
NSW2573,MEBUL,GAZETTED LOCALITY,2852,NSW,LGA15270,Mid-Western Regional (A)
NSW2574,MEDLOW BATH,GAZETTED LOCALITY,2780,NSW,LGA10900,Blue Mountains (C)
NSW2575,MEDOWIE,GAZETTED LOCALITY,2318,NSW,LGA16400,Port Stephens (A)
NSW2577,MEDWAY,GAZETTED LOCALITY,2577,NSW,LGA18350,Wingecarribee (A)
NSW2578,MEERSCHAUM VALE,GAZETTED LOCALITY,2477,NSW,LGA10250,Ballina (A)
NSW5041,MEGALONG VALLEY,GAZETTED LOCALITY,2785,NSW,LGA10900,Blue Mountains (C)
NSW2580,MEGAN,GAZETTED LOCALITY,2453,NSW,LGA10600,Bellingen (A)
NSW2581,MELBERGEN,GAZETTED LOCALITY,2669,NSW,LGA11600,Carrathool (A)
NSW2582,MELINGA,GAZETTED LOCALITY,2430,NSW,LGA15240,Mid-Coast (A)
NSW2583,MELLONG,GAZETTED LOCALITY,2756,NSW,LGA13800,Hawkesbury (C)
NSW2584,MELLOOL,GAZETTED LOCALITY,2734,NSW,LGA15520,Murray River (A)
NSW2585,MELROSE PARK,GAZETTED LOCALITY,2114,NSW,LGA16700,Ryde (C)
NSW2586,MELVILLE,GAZETTED LOCALITY,2320,NSW,LGA15050,Maitland (C)
NSW2587,MEMAGONG,GAZETTED LOCALITY,2594,NSW,LGA13910,Hilltops (A)
NSW2588,MENAH,GAZETTED LOCALITY,2850,NSW,LGA15270,Mid-Western Regional (A)
NSW2589,MENAI,GAZETTED LOCALITY,2234,NSW,LGA17150,Sutherland Shire (A)
NSW2590,MENANGLE,GAZETTED LOCALITY,2568,NSW,LGA18400,Wollondilly (A)
NSW2591,MENANGLE PARK,GAZETTED LOCALITY,2563,NSW,LGA11500,Campbelltown (C) (NSW)
NSW2592,MENDOORAN,GAZETTED LOCALITY,2842,NSW,LGA18020,Warrumbungle Shire (A)
NSW2593,MENINDEE,GAZETTED LOCALITY,2879,NSW,LGA11700,Central Darling (A)
NSW2594,MERAH NORTH,GAZETTED LOCALITY,2388,NSW,LGA15750,Narrabri (A)
NSW2595,MEREWETHER,GAZETTED LOCALITY,2291,NSW,LGA15900,Newcastle (C)
NSW2596,MEREWETHER HEIGHTS,GAZETTED LOCALITY,2291,NSW,LGA15900,Newcastle (C)
NSW2597,MERIMBULA,GAZETTED LOCALITY,2548,NSW,LGA10550,Bega Valley (A)
NSW2598,MERINGO,GAZETTED LOCALITY,2537,NSW,LGA12750,Eurobodalla (A)
NSW2599,MERNOT,GAZETTED LOCALITY,2422,NSW,LGA15240,Mid-Coast (A)
NSW2600,MEROO,GAZETTED LOCALITY,2850,NSW,LGA15270,Mid-Western Regional (A)
NSW2601,MEROO MEADOW,GAZETTED LOCALITY,2540,NSW,LGA16950,Shoalhaven (C)
NSW2602,MEROTHERIE,GAZETTED LOCALITY,2852,NSW,LGA15270,Mid-Western Regional (A)
NSW2603,MERRIANGAAH,GAZETTED LOCALITY,2632,NSW,LGA17040,Snowy Monaro Regional (A)
NSW2604,MERRICUMBENE,GAZETTED LOCALITY,2622,NSW,LGA12750,Eurobodalla (A)
NSW2605,MERRIGAL,GAZETTED LOCALITY,2827,NSW,LGA17950,Warren (A)
NSW2606,MERRILL,GAZETTED LOCALITY,2581,NSW,LGA17640,Upper Lachlan Shire (A)
NSW2607,MERRIWA,GAZETTED LOCALITY,2329,NSW,LGA17620,Upper Hunter Shire (A)
NSW2608,MERRIWAGGA,GAZETTED LOCALITY,2652,NSW,LGA11600,Carrathool (A)
NSW2609,MERRYGOEN,GAZETTED LOCALITY,2831,NSW,LGA18020,Warrumbungle Shire (A)
NSW2610,MERRYLANDS,GAZETTED LOCALITY,2160,NSW,LGA12380,Cumberland (A)
NSW2611,MERRYLANDS WEST,GAZETTED LOCALITY,2160,NSW,LGA12380,Cumberland (A)
NSW2612,MERUNGLE HILL,GAZETTED LOCALITY,2705,NSW,LGA14750,Leeton (A)
NSW2613,MERYLA,GAZETTED LOCALITY,2577,NSW,LGA18350,Wingecarribee (A)
NSW2614,METFORD,GAZETTED LOCALITY,2323,NSW,LGA15050,Maitland (C)
NSW2615,METHUL,GAZETTED LOCALITY,2701,NSW,LGA12000,Coolamon (A)
NSW5106,METZ,GAZETTED LOCALITY,2350,NSW,LGA10130,Armidale Regional (A)
NSW2616,MIAMLEY,GAZETTED LOCALITY,2873,NSW,LGA14600,Lachlan (A)
NSW2617,MIANDETTA,GAZETTED LOCALITY,2825,NSW,LGA10950,Bogan (A)
NSW2618,MICALO ISLAND,GAZETTED LOCALITY,2464,NSW,LGA11730,Clarence Valley (A)
NSW2619,MICHELAGO,GAZETTED LOCALITY,2620,NSW,LGA17040,Snowy Monaro Regional (A)
